domaine;code;occurrences;colonnes;sources
activite_regulee;469;58758;activite.code_activite_regulee;finess_activites
activite_regulee;924;33518;activite.code_activite_regulee;finess_activites
activite_regulee;QA002;26452;activite.code_activite_regulee;finess_activites
activite_regulee;084;17648;activite.code_activite_regulee;finess_activites
activite_regulee;912;14328;activite.code_activite_regulee;finess_activites
activite_regulee;657;13704;activite.code_activite_regulee;finess_activites
activite_regulee;844;12382;activite.code_activite_regulee;finess_activites
activite_regulee;911;10664;activite.code_activite_regulee;finess_activites
activite_regulee;910;10424;activite.code_activite_regulee;finess_activites
activite_regulee;QA018;8866;activite.code_activite_regulee;finess_activites
activite_regulee;358;8696;activite.code_activite_regulee;finess_activites
activite_regulee;965;7666;activite.code_activite_regulee;finess_activites
activite_regulee;230;7596;activite.code_activite_regulee;finess_activites
activite_regulee;QA050;7392;activite.code_activite_regulee;finess_activites
activite_regulee;959;7310;activite.code_activite_regulee;finess_activites
activite_regulee;867;6124;activite.code_activite_regulee;finess_activites
activite_regulee;197;5400;activite.code_activite_regulee;finess_activites
activite_regulee;824;5322;activite.code_activite_regulee;finess_activites
activite_regulee;901;5140;activite.code_activite_regulee;finess_activites
activite_regulee;927;5112;activite.code_activite_regulee;finess_activites
activite_regulee;961;5096;activite.code_activite_regulee;finess_activites
activite_regulee;908;5034;activite.code_activite_regulee;finess_activites
activite_regulee;936;4668;activite.code_activite_regulee;finess_activites
activite_regulee;966;4646;activite.code_activite_regulee;finess_activites
activite_regulee;204;4584;activite.code_activite_regulee;finess_activites
activite_regulee;665;4566;activite.code_activite_regulee;finess_activites
activite_regulee;925;4544;activite.code_activite_regulee;finess_activites
activite_regulee;868;4422;activite.code_activite_regulee;finess_activites
activite_regulee;926;4408;activite.code_activite_regulee;finess_activites
activite_regulee;177;4114;activite.code_activite_regulee;finess_activites
activite_regulee;964;4074;activite.code_activite_regulee;finess_activites
activite_regulee;236;4000;activite.code_activite_regulee;finess_activites
activite_regulee;386;3950;activite.code_activite_regulee;finess_activites
activite_regulee;841;3770;activite.code_activite_regulee;finess_activites
activite_regulee;356;3592;activite.code_activite_regulee;finess_activites
activite_regulee;209;3552;activite.code_activite_regulee;finess_activites
activite_regulee;508;3476;activite.code_activite_regulee;finess_activites
activite_regulee;957;3414;activite.code_activite_regulee;finess_activites
activite_regulee;181;3278;activite.code_activite_regulee;finess_activites
activite_regulee;864;3204;activite.code_activite_regulee;finess_activites
activite_regulee;231;3140;activite.code_activite_regulee;finess_activites
activite_regulee;932;3128;activite.code_activite_regulee;finess_activites
activite_regulee;QEML1;3076;activite.code_activite_regulee;finess_activites
activite_regulee;850;3044;activite.code_activite_regulee;finess_activites
activite_regulee;391;2962;activite.code_activite_regulee;finess_activites
activite_regulee;897;2960;activite.code_activite_regulee;finess_activites
activite_regulee;QA004;2904;activite.code_activite_regulee;finess_activites
activite_regulee;384;2780;activite.code_activite_regulee;finess_activites
activite_regulee;092;2754;activite.code_activite_regulee;finess_activites
activite_regulee;258;2728;activite.code_activite_regulee;finess_activites
activite_regulee;658;2656;activite.code_activite_regulee;finess_activites
activite_regulee;176;2576;activite.code_activite_regulee;finess_activites
activite_regulee;232;2478;activite.code_activite_regulee;finess_activites
activite_regulee;223;2404;activite.code_activite_regulee;finess_activites
activite_regulee;064;2370;activite.code_activite_regulee;finess_activites
activite_regulee;419;2332;activite.code_activite_regulee;finess_activites
activite_regulee;915;2330;activite.code_activite_regulee;finess_activites
activite_regulee;902;2290;activite.code_activite_regulee;finess_activites
activite_regulee;01;2272;activite.code_activite_regulee;finess_activites
activite_regulee;QA015;2258;activite.code_activite_regulee;finess_activites
activite_regulee;16;2240;activite.code_activite_regulee;finess_activites
activite_regulee;137;2236;activite.code_activite_regulee;finess_activites
activite_regulee;072;2230;activite.code_activite_regulee;finess_activites
activite_regulee;QA016;2184;activite.code_activite_regulee;finess_activites
activite_regulee;916;2174;activite.code_activite_regulee;finess_activites
activite_regulee;QA001;2060;activite.code_activite_regulee;finess_activites
activite_regulee;903;2034;activite.code_activite_regulee;finess_activites
activite_regulee;076;1966;activite.code_activite_regulee;finess_activites
activite_regulee;920;1962;activite.code_activite_regulee;finess_activites
activite_regulee;840;1960;activite.code_activite_regulee;finess_activites
activite_regulee;471;1954;activite.code_activite_regulee;finess_activites
activite_regulee;233;1942;activite.code_activite_regulee;finess_activites
activite_regulee;876;1912;activite.code_activite_regulee;finess_activites
activite_regulee;943;1854;activite.code_activite_regulee;finess_activites
activite_regulee;354;1806;activite.code_activite_regulee;finess_activites
activite_regulee;319;1754;activite.code_activite_regulee;finess_activites
activite_regulee;079;1726;activite.code_activite_regulee;finess_activites
activite_regulee;507;1666;activite.code_activite_regulee;finess_activites
activite_regulee;509;1666;activite.code_activite_regulee;finess_activites
activite_regulee;939;1646;activite.code_activite_regulee;finess_activites
activite_regulee;946;1646;activite.code_activite_regulee;finess_activites
activite_regulee;851;1630;activite.code_activite_regulee;finess_activites
activite_regulee;661;1586;activite.code_activite_regulee;finess_activites
activite_regulee;14;1570;activite.code_activite_regulee;finess_activites
activite_regulee;917;1550;activite.code_activite_regulee;finess_activites
activite_regulee;309;1526;activite.code_activite_regulee;finess_activites
activite_regulee;947;1492;activite.code_activite_regulee;finess_activites
activite_regulee;627;1464;activite.code_activite_regulee;finess_activites
activite_regulee;913;1442;activite.code_activite_regulee;finess_activites
activite_regulee;320;1430;activite.code_activite_regulee;finess_activites
activite_regulee;958;1420;activite.code_activite_regulee;finess_activites
activite_regulee;414;1404;activite.code_activite_regulee;finess_activites
activite_regulee;A1;1392;activite.code_activite_regulee;finess_activites
activite_regulee;063;1372;activite.code_activite_regulee;finess_activites
activite_regulee;259;1322;activite.code_activite_regulee;finess_activites
activite_regulee;909;1306;activite.code_activite_regulee;finess_activites
activite_regulee;QA020;1278;activite.code_activite_regulee;finess_activites
activite_regulee;357;1266;activite.code_activite_regulee;finess_activites
activite_regulee;172;1244;activite.code_activite_regulee;finess_activites
activite_regulee;922;1240;activite.code_activite_regulee;finess_activites
activite_regulee;QA017;1236;activite.code_activite_regulee;finess_activites
activite_regulee;163;1228;activite.code_activite_regulee;finess_activites
activite_regulee;17;1220;activite.code_activite_regulee;finess_activites
activite_regulee;723;1198;activite.code_activite_regulee;finess_activites
activite_regulee;165;1194;activite.code_activite_regulee;finess_activites
activite_regulee;666;1194;activite.code_activite_regulee;finess_activites
activite_regulee;250;1168;activite.code_activite_regulee;finess_activites
activite_regulee;842;1160;activite.code_activite_regulee;finess_activites
activite_regulee;034;1154;activite.code_activite_regulee;finess_activites
activite_regulee;945;1132;activite.code_activite_regulee;finess_activites
activite_regulee;A0;1104;activite.code_activite_regulee;finess_activites
activite_regulee;839;1096;activite.code_activite_regulee;finess_activites
activite_regulee;QA003;1096;activite.code_activite_regulee;finess_activites
